user_id,event_type,event_time,device,city
62,message_sent,2024-11-01 00:18:08,android,Isfahan
21,message_sent,2024-11-01 00:20:15,android,Shiraz
59,message_sent,2024-11-01 00:25:41,android,Shiraz
23,message_sent,2024-11-01 01:30:27,android,Tabriz
72,message_sent,2024-11-01 02:36:40,ios,Tehran
40,login,2024-11-01 02:44:00,ios,Mashhad
75,message_sent,2024-11-01 02:52:21,ios,Mashhad
59,login,2024-11-01 02:57:58,android,Tabriz
48,message_sent,2024-11-01 03:00:16,ios,Shiraz
76,message_sent,2024-11-01 03:09:15,android,Mashhad
63,message_sent,2024-11-01 03:48:19,ios,Tehran
13,message_sent,2024-11-01 04:03:42,android,Isfahan
57,login,2024-11-01 04:17:43,android,Mashhad
32,message_sent,2024-11-01 04:47:05,ios,Tabriz
44,login,2024-11-01 04:49:47,android,Isfahan
12,message_sent,2024-11-01 04:51:13,android,Mashhad
23,message_sent,2024-11-01 04:56:56,android,Tabriz
70,message_sent,2024-11-01 05:38:42,ios,Isfahan
92,message_sent,2024-11-01 05:56:49,android,Tabriz
17,message_sent,2024-11-01 06:16:08,android,Isfahan
30,login,2024-11-01 06:33:02,android,Tabriz
33,message_sent,2024-11-01 06:44:38,ios,Tehran
46,login,2024-11-01 08:08:39,android,Mashhad
55,login,2024-11-01 08:12:52,ios,Tabriz
90,message_sent,2024-11-01 08:14:19,android,Tabriz
54,message_sent,2024-11-01 08:37:42,android,Isfahan
23,message_sent,2024-11-01 08:48:41,android,Isfahan
1,login,2024-11-01 09:01:04,android,Tabriz
85,message_sent,2024-11-01 09:03:27,android,Tabriz
10,message_sent,2024-11-01 09:32:06,android,Shiraz
53,login,2024-11-01 09:53:55,android,Tehran
31,message_sent,2024-11-01 10:13:24,android,Tehran
67,message_sent,2024-11-01 10:15:43,android,Tabriz
80,message_sent,2024-11-01 10:16:57,android,Isfahan
92,message_sent,2024-11-01 10:21:46,android,Isfahan
29,message_sent,2024-11-01 10:29:51,android,Shiraz
25,login,2024-11-01 10:37:20,android,Tehran
69,message_sent,2024-11-01 10:41:01,android,Isfahan
33,login,2024-11-01 10:55:33,android,Mashhad
24,message_sent,2024-11-01 11:36:47,android,Tabriz
52,message_sent,2024-11-01 11:47:53,ios,Isfahan
46,login,2024-11-01 12:12:17,android,Tabriz
4,message_sent,2024-11-01 12:15:12,android,Mashhad
1,message_sent,2024-11-01 12:20:18,android,Mashhad
72,login,2024-11-01 12:39:34,ios,Tehran
38,message_sent,2024-11-01 12:53:38,android,Shiraz
96,message_sent,2024-11-01 13:07:54,android,Tehran
49,message_sent,2024-11-01 13:11:46,ios,Mashhad
44,login,2024-11-01 13:41:56,android,Isfahan
75,message_sent,2024-11-01 14:17:16,android,Isfahan
59,message_sent,2024-11-01 14:33:37,ios,Isfahan
31,message_sent,2024-11-01 14:38:27,android,Shiraz
70,message_sent,2024-11-01 14:40:28,android,Shiraz
66,message_sent,2024-11-01 14:44:30,android,Shiraz
53,message_sent,2024-11-01 14:50:01,android,Tehran
95,message_sent,2024-11-01 15:04:15,ios,Shiraz
96,message_sent,2024-11-01 15:08:08,ios,Mashhad
85,message_sent,2024-11-01 15:17:06,android,Tabriz
36,message_sent,2024-11-01 15:32:11,android,Tehran
35,message_sent,2024-11-01 15:40:19,android,Mashhad
82,message_sent,2024-11-01 15:54:12,android,Mashhad
78,login,2024-11-01 16:05:39,ios,Tabriz
14,login,2024-11-01 16:12:09,ios,Shiraz
36,message_sent,2024-11-01 16:14:27,android,Tehran
50,message_sent,2024-11-01 16:32:00,ios,Tehran
62,message_sent,2024-11-01 16:39:33,android,Shiraz
54,message_sent,2024-11-01 16:39:35,android,Isfahan
32,message_sent,2024-11-01 16:58:11,ios,Tabriz
53,login,2024-11-01 17:02:58,ios,Isfahan
92,login,2024-11-01 17:28:02,android,Isfahan
54,message_sent,2024-11-01 17:29:08,ios,Tabriz
10,login,2024-11-01 17:32:07,android,Shiraz
8,message_sent,2024-11-01 18:16:17,android,Tabriz
56,login,2024-11-01 18:34:07,android,Mashhad
74,message_sent,2024-11-01 18:51:51,ios,Tabriz
68,login,2024-11-01 18:56:34,android,Shiraz
77,message_sent,2024-11-01 20:05:55,ios,Isfahan
100,message_sent,2024-11-01 20:21:55,android,Mashhad
11,message_sent,2024-11-01 20:31:15,android,Tabriz
97,login,2024-11-01 20:39:50,android,Isfahan
52,login,2024-11-01 20:56:57,android,Mashhad
36,message_sent,2024-11-01 20:57:08,ios,Tehran
67,message_sent,2024-11-01 21:55:03,android,Tabriz
68,login,2024-11-01 22:19:05,ios,Tehran
22,message_sent,2024-11-01 22:40:36,android,Shiraz
61,login,2024-11-01 22:45:18,android,Mashhad
3,message_sent,2024-11-01 22:59:42,android,Isfahan
35,message_sent,2024-11-01 23:28:18,android,Shiraz
20,message_sent,2024-11-02 00:21:20,android,Shiraz
92,message_sent,2024-11-02 00:24:23,android,Mashhad
2,message_sent,2024-11-02 00:33:55,android,Tabriz
86,login,2024-11-02 00:41:18,android,Tabriz
33,message_sent,2024-11-02 00:44:30,android,Tehran
5,login,2024-11-02 00:57:06,android,Mashhad
57,message_sent,2024-11-02 02:03:26,android,Isfahan
96,login,2024-11-02 02:36:04,android,Tabriz
76,login,2024-11-02 02:46:06,android,Isfahan
82,message_sent,2024-11-02 02:47:15,android,Tehran
52,message_sent,2024-11-02 02:52:24,android,Tehran
60,message_sent,2024-11-02 03:02:17,android,Mashhad
61,message_sent,2024-11-02 03:09:32,android,Tabriz
26,message_sent,2024-11-02 03:10:22,android,Tabriz
61,message_sent,2024-11-02 03:28:40,android,Tehran
53,message_sent,2024-11-02 03:29:03,ios,Tehran
48,message_sent,2024-11-02 03:38:18,ios,Tehran
15,message_sent,2024-11-02 03:39:23,ios,Isfahan
39,message_sent,2024-11-02 03:40:00,android,Mashhad
32,message_sent,2024-11-02 03:44:40,android,Isfahan
33,message_sent,2024-11-02 03:50:03,android,Tabriz
89,login,2024-11-02 03:58:44,android,Mashhad
92,message_sent,2024-11-02 04:18:33,android,Shiraz
12,message_sent,2024-11-02 04:40:35,android,Shiraz
33,message_sent,2024-11-02 04:57:38,ios,Tabriz
90,login,2024-11-02 05:05:39,ios,Shiraz
22,message_sent,2024-11-02 05:13:42,ios,Shiraz
17,login,2024-11-02 05:14:09,android,Isfahan
57,message_sent,2024-11-02 05:22:01,android,Isfahan
